MOUNT BAW BAW,,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Snow Making Depth,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area (10 ha),+ means that snowmaking depth is = or > than natural snow depth,2016 Natural Snow Depth,2016 Average depth in snow-making area (10 ha),+ means that snowmaking depth is = or > than natural snow depth,2015 Natural Snow Depth,2015 Average depth in snow-making area (10 ha),+ means that snowmaking depth is = or > than natural snow depth,2014  Natural Snow Depth,2014 Average depth in snow-making area (10 ha),,2013 Natural Snow Depth,2013 Average depth in snow-making area (10 ha),,2012 Natural Snow Depth,2012 Average depth in snow-making area (10 ha),,2011 Natural Snow Depth,2011 Average depth in snow-making area (10 ha),,2010 Natural Snow Depth,2010 Average depth in snow-making area (10 ha),,2009 Natural Snow Depth,2009 Average depth in snow-making area (10 ha),,2008 Natural Snow Depth,2008 Average depth in snow-making area (10 ha),,2007 Natural Snow Depth,2007 Average depth in snow-making area (10 ha),BLANK,2006 Natural Snow Depth,2006 Average depth in snow-making area (10 ha),+ means that snowmaking depth is = or > than natural snow depth,2005,BLANK,BLANK,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,19/6,19-Jun,10.10,9,0,0,,0,0,+,2,11,,,,,,,,5,7,+,18,18,+,5,5,,25,28,,7,0,,28,32,,1,0,,3,,,22,3,1,15,38,6,9,10,0,4,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jun,20/6,,11.90,9,0,0,,0,0,+,3,26,,,,,,,,5,6,+,15,15,+,4,4,,25,28,,4,0,,38,40,,1,0,,3,,,55,3,1,14,37,5,9,8,0,4,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,21/6,,12.40,9,1,1,,0,0,+,3,32,,,,,,,,8,10,+,10,15,+,4,4,,21,23,,1,0,,38,40,,1,0,,0,,,59,2,0,7,31,5,11,8,0,7,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,22/6,,16.50,10,1,1,,0,0,+,2,36,,,,,,,,8,30,+,25,25,+,4,4,,18,20,,0,0,,44,50,,1,0,,0,,,45,0,0,7,31,0,10,7,0,7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jun,23/6,,15.80,11,0,0,,0,0,+,2,36,,,,,,,,23,30,+,20,20,+,4,4,,16,18,,0,0,,44,50,,1,0,,0,,,38,10,0,6,36,0,34,7,0,7,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,24/6,,18.70,12,1,1,,11,21,+,1,30,,9,9,,,,,25,40,+,15,15,+,4,4,,12,14,,0,0,,44,54,,1,0,,0,,,34,4,0,6,32,0,42,5,0,7,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jun,25/6,,19.70,15,2,5,,35,35,+,0,22,,21,21,,,,,25,40,+,12,12,+,3,3,,10,14,,0,0,,42,50,,1,0,,0,,,32,4,0,5,30,0,60,8,0,7,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jun,26/6,26-Jun,20.20,15,1,7,,36,36,+,0,20,,15,15,,,,,22,40,+,10,10,+,17,17,,10,14,,0,0,,42,50,,4,0,,0,,,49,4,4,5,30,0,68,22,0,7,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,27/6,,21.50,15,1,7,,36,38,+,0,19,,10,10,,1,7,,21,45,+,8,10,+,22,22,,10,14,,0,0,,42,50,,4,0,,0,,,53,3,4,5,26,0,68,15,0,4,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,28/6,,19.70,14,1,7,,36,38,+,0,17,,10,10,,1,7,,20,44,+,5,5,+,20,21,,8,10,,0,0,,40,45,,4,15,,0,,,50,0,20,0,26,0,68,0,0,4,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun,29/6,,21.50,16,1,7,,34,36,+,0,17,,32,32,,1,7,,18,42,+,5,5,+,20,21,,8,10,,0,0,,40,45,,4,15,,0,,,50,0,29,0,26,0,68,0,0,7,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jun,30/6,,21.40,16,5,9,,32,34,+,0,17,,42,42,,1,7,,13,37,+,3,3,+,20,21,,8,8,,0,0,,41,45,,4,15,,0,,,45,0,29,0,28,0,68,0,0,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul,1/7,,22.00,18,9,20,,45,45,+,0,15,,42,42,,0,4,,13,37,+,5,5,+,20,21,,0,0,,5,0,,48,51,,3,15,,0,,,40,0,29,0,23,3,76,0,0,17,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jul,2/7,,23.50,18,10,27,,32,35,+,0,15,,40,40,,0,2,,8,45,+,5,5,+,20,21,,0,2,,7,0,,65,70,,3,15,,0,,,40,1,29,0,23,5,70,0,0,37,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Jul,3/7,3-Jul,24.60,20,10,28,,22,25,+,15,25,,35,40,,0,2,,17,42,+,5,5,+,22,23,,14,14,,8,0,,65,70,,3,10,,0,,,40,1,29,0,23,2,58,0,0,35,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,4/7,,24.30,19,9,27,,20,23,+,12,25,,32,40,,0,2,,16,41,+,3,5,+,22,23,,14,14,,8,0,,65,70,,3,10,,0,,,35,0,29,0,23,2,58,2,0,39,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jul,5/7,,24.30,19,7,25,,18,23,+,12,25,,30,38,,1,2,,17,42,+,4,5,+,22,23,,20,20,+,5,0,,60,65,,3,7,,0,,,32,0,33,0,20,2,58,3,0,38,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jul,6/7,,23.60,18,6,24,,18,22,+,8,23,,27,35,,1,2,,17,42,+,8,8,+,17,18,,21,21,+,5,0,,61,65,,3,5,,0,,,36,0,32,0,17,2,55,0,0,38,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jul,7/7,,24.50,19,6,24,,15,18,+,7,23,,22,30,,2,4,,17,42,+,22,22,+,15,16,,20,22,+,5,0,,65,68,,3,5,,0,,,40,0,32,2,15,2,46,0,0,35,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,8/7,,24.30,19,6,24,,13,15,+,5,23,,20,25,,5,7,,17,42,+,25,28,+,8,8,,20,25,+,5,0,,70,70,,3,5,,1,,,55,0,28,0,15,2,43,0,5,30,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,9/7,,23.20,17,6,24,,5,10,+,3,21,,20,25,,5,7,,17,42,+,25,28,+,8,8,,18,25,+,3,0,,66,66,,3,5,,10,,,55,0,28,0,15,2,58,9,5,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul,10/7,10-Jul,24.00,18,6,24,,3,7,+,4,21,,30,35,,5,9,,16,41,+,25,28,+,8,8,,18,24,+,3,0,,67,67,,0,0,,45,,,55,0,35,0,15,0,75,25,5,30,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,11/7,,25.40,19,5,24,,2,5,+,2,20,,30,35,,5,11,,12,37,+,29,30,+,8,8,,18,24,+,15,17,,67,67,,0,0,,40,,,55,0,35,0,19,0,76,20,5,33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul,12/7,,25.20,19,4,31,,2,5,+,4,21,,27,32,,4,14,,10,35,+,31,33,+,7,7,,15,20,+,24,23,,62,62,,9,11,,40,,,48,0,35,0,19,0,76,20,5,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul,13/7,,29.20,21,4,33,,8,25,+,9,26,,37,42,,4,14,,9,35,+,31,33,+,6,6,,17,22,+,24,23,,66,66,,11,15,,40,,,40,2,35,0,29,0,76,26,5,39,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul,14/7,,33.60,24,4,32,,13,50,+,14,28,,37,42,,4,14,,6,34,+,36,39,+,6,6,,21,26,+,24,23,,74,74,,11,15,,35,,,35,2,32,0,25,0,76,25,6,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jul,15/7,,35.20,25,4,32,,13,50,+,19,33,,37,42,,1,5,,6,34,+,36,42,+,21,21,,18,26,+,24,23,,76,76,,9,13,,35,,,32,2,32,0,25,0,76,10,15,58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jul,16/7,,32.60,24,4,36,,8,36,+,18,32,,37,42,,0,3,,6,32,+,36,42,+,21,21,,18,20,+,21,22,,76,76,,8,11,,36,,,32,2,30,1,25,0,75,26,17,58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jul,17/7,17-Jul,32.90,24,4,38,,7,32,+,25,39,,37,42,,0,1,,5,31,+,35,45,+,17,17,,16,28,+,19,18,,76,76,,8,8,,41,,,40,0,34,2,19,0,73,34,17,47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,18/7,,38.40,28,4,38,,5,30,+,33,50,,53,71,,0,1,,5,31,+,32,42,+,17,17,,16,28,+,19,18,,96,96,,8,8,,46,,,55,0,30,1,17,0,72,35,18,47,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul,19/7,,39.70,31,4,38,,2,26,+,33,53,,58,76,,0,1,,8,31,+,37,45,+,17,17,,15,17,+,25,18,,113,113,,0,8,,43,,,55,0,28,0,17,0,71,35,16,60,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,20/7,,40.80,31,5,38,,2,24,+,33,55,,58,76,,9,9,,8,31,+,34,42,+,18,22,,13,17,+,23,17,,115,115,,0,16,,38,,,55,0,25,0,25,4,70,34,9,65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jul,21/7,,41.10,31,8,38,,1,22,+,33,55,,58,80,,9,9,,7,30,+,32,40,+,21,25,,11,15,+,23,20,,115,115,,0,16,,35,,,55,0,50,0,30,4,69,31,22,65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jul,22/7,,41.20,31,10,38,,0,0,+,28,50,,58,95,,12,14,,7,30,+,32,40,+,21,25,,10,13,+,30,30,+,115,115,,0,18,,30,,,55,0,47,0,37,4,67,30,23,65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jul,23/7,,42.60,32,10,38,,4,4,+,25,47,,58,95,,12,14,,6,28,+,31,40,+,20,25,,20,23,,30,35,0,115,115,,0,18,,28,,,55,0,45,0,34,2,69,25,21,65,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jul,24/7,24-Jul,43.10,32,9,38,,5,9,+,23,43,,53,90,,5,7,,5,27,+,32,40,+,20,27,,25,35,,32,38,+,115,115,,0,13,,25,,,55,12,40,0,25,4,68,20,22,67,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,25/7,,44.00,32,8,37,,5,9,+,30,52,,48,85,,5,12,,5,25,+,37,40,+,20,27,,25,35,,32,40,+,115,115,,0,13,,20,,,55,16,38,0,23,4,66,18,24,76,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jul,26/7,,44.20,32,6,35,,10,20,+,31,53,,40,77,,5,12,,5,25,+,35,40,+,18,25,,25,35,,32,40,+,115,115,,0,13,,15,,,50,30,38,0,45,4,64,18,24,76,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,27/7,,43.70,32,6,34,,10,20,+,40,62,,36,73,,4,10,,5,25,+,35,43,+,16,22,,25,35,,39,40,+,107,107,,0,5,,0,,,56,42,35,0,55,0,63,16,24,68,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
