MOUNT BULLER,,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Snow Making Depth,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area (61 ha),+ means that snowmaking depth is = or > than natural snow depth,2016 Natural Snow Depth,2016 Average depth in snow-making area (61 ha),+ means that snowmaking depth is = or > than natural snow depth,2015 Natural Snow Depth,2015 Average depth in snow-making area (61 ha),+ means that snowmaking depth is = or > than natural snow depth,2014 Natural Snow Depth,2014 Average depth in snow-making area (61 ha),,2013 Natural Snow Depth,2013 Average depth in snow-making area (61 ha),,2012 Natural Snow Depth,2012 Average depth in snow-making area (100 ha),,2011 Natural Snow Depth,2011 Average depth in snow-making area (100 ha),,2010 Natural Snow Depth,2010 Average depth in snow-making area (61 ha),,2009 Natural Snow Depth,2009 Average depth in snow-making area (61 ha),,2008 Natural Snow Depth,2008 Average depth in snow-making area (61 ha),BLANK,2007 Natural Snow Depth,2007 Average depth in snow-making area (61 ha),BLANK,2006 Natural Snow Depth,2006 Average depth in snow-making area (61 ha),,2005,BLANK,BLANK,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,19/6,19-Jun,23.20,12,9,46,,0,15,+,0,15,,,,,,,,0,12,+,22,42,+,13,40,,50,58,,0,0,,34,50,,1,24,,30,,,40,28,20,5,60,25,7,11,0,10,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jun,20/6,,24.30,13,9,46,,0,15,+,0,20,,,,,,,,0,20,+,19,39,+,12,38,,49,56,,0,0,,46,55,,1,24,,36,,,55,27,20,5,60,25,7,11,0,10,22,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,21/6,,22.50,11,9,46,,0,5,+,0,25,,,,,,,,0,22,+,15,35,+,7,33,,41,50,,0,0,,46,55,,1,24,,38,,,55,27,21,3,55,25,5,10,0,10,20,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,22/6,,28.30,17,5,39,,10,15,+,0,25,,,,,,,,20,40,+,35,55,+,7,35,,40,50,,0,0,,53,63,,1,24,,45,,,50,29,22,3,55,20,4,9,0,10,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jun,23/6,,29.80,17,3,35,,12,17,+,0,25,,,,,,,,28,55,+,36,56,+,7,35,,33,47,,0,0,,53,63,,1,24,,49,,,50,35,20,3,60,20,8,9,0,10,20,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,24/6,,35.20,21,3,35,,22,32,+,0,25,,23,35,,,,,31,59,+,35,56,+,7,35,,39,47,,0,0,,53,63,,12,30,,47,,,52,33,20,3,60,20,15,7,0,10,22,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jun,25/6,,36.50,23,3,36,,39,47,+,0,25,,40,45,,,,,31,59,+,27,48,+,5,33,,37,45,,0,0,,53,63,,12,30,,47,,,51,33,20,3,60,20,27,8,0,7,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jun,26/6,26-Jun,37.40,23,6,37,,41,50,+,0,25,,33,42,,,,,31,60,+,26,48,+,10,38,,38,48,,0,0,,53,63,,12,34,,47,,,68,32,22,3,60,20,26,8,0,5,40,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,27/6,,43.30,25,7,37,,41,65,+,0,35,,33,42,,13,33,,31,60,+,25,46,+,11,40,,38,48,,4,0,,54,64,,12,35,,43,,,71,29,22,0,60,20,25,8,12,5,46,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,28/6,,44.00,23,7,37,,44,69,+,0,35,,35,43,,13,33,,27,61,+,25,48,+,11,43,+,34,44,,3,0,,42,64,,12,35,,43,,,71,27,40,0,55,20,25,7,12,7,45,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
