MOUNT STIRLING,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area,NO SNOW MAKING,2016 Natural Snow Depth,2016 Average depth in snow-making area,NO SNOW MAKING,2015 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2014 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2013 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2012 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2011 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2010 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2009 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2008 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2007 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2006 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2005,NO SNOW MAKING,NO SNOW MAKING,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Aug,21/8,21-Aug,47,44,0,,55,,,64,,,71,,,62,,,35,,,8,,,42,,,17,,,85,,,35,,,5,,,20,,,101,45,65,23,62,40,10,55,70,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,22/8,,47,44,0,,65,,,55,,,66,,,66,,,35,,,7,,,42,,,13,,,85,,,40,,,0,,,20,,,100,40,65,30,62,35,10,53,60,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug,23/8,,48,44,0,,60,,,49,,,64,,,70,,,45,,,7,,,42,,,13,,,90,,,40,,,0,,,20,,,95,45,65,60,60,35,5,53,55,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,24/8,,46,41,0,,60,,,49,,,64,,,72,,,35,,,7,,,42,,,11,,,90,,,30,,,0,,,20,,,90,50,60,65,60,30,5,50,65,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug,25/8,,47,35,0,,56,,,46,,,62,,,85,,,35,,,7,,,42,,,15,,,90,,,30,,,0,,,20,,,90,55,60,65,70,25,5,55,65,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug,26/8,,49,37,0,,58,,,49,,,60,,,88,,,35,,,5,,,63,,,15,,,90,,,30,,,0,,,15,,,89,55,60,65,75,20,5,65,55,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Aug,27/8,,51,41,0,,58,,,46,,,57,,,75,,,35,,,5,,,90,,,21,,,90,,,30,,,0,,,15,,,89,70,60,65,77,20,5,65,50,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug,28/8,28-Aug,49,42,0,,54,,,46,,,50,,,75,,,35,,,5,,,90,,,19,,,85,,,30,,,0,,,15,,,68,75,58,66,77,15,3,65,45,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,29/8,,49,42,0,,54,,,46,,,49,,,70,,,35,,,5,,,100,,,19,,,85,,,30,,,0,,,15,,,68,75,55,66,77,12,3,65,45,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug,30/8,,47,39,0,,52,,,46,,,49,,,65,,,35,,,4,,,100,,,15,,,80,,,27,,,0,,,10,,,68,75,52,50,78,5,3,65,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug,31/8,,44,38,0,,40,,,46,,,46,,,55,,,35,,,0,,,100,,,11,,,80,,,27,,,0,,,5,,,65,80,51,35,80,5,4,65,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Sep,1/9,,44,36,0,,40,,,46,,,40,,,55,,,45,,,0,,,100,,,11,,,80,,,27,,,0,,,11,,,65,80,50,30,80,5,0,50,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Sep,2/9,,41,35,0,,40,,,40,,,45,,,37,,,45,,,0,,,100,,,11,,,75,,,20,,,0,,,10,,,62,20,50,30,85,5,0,42,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Sep,3/9,,39,33,0,,40,,,40,,,45,,,35,,,50,,,0,,,75,,,9,,,75,,,20,,,0,,,10,,,62,95,50,25,85,5,0,40,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Sep,4/9,4-Sep,37,33,0,,33,,,40,,,45,,,30,,,50,,,0,,,70,,,9,,,75,,,20,,,0,,,8,,,60,95,50,25,80,5,0,40,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Sep,5/9,,33,41,0,,30,,,33,,,39,,,20,,,50,,,0,,,62,,,9,,,70,,,17,,,0,,,7,,,62,95,40,20,80,5,0,40,40,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Sep,6/9,,32,59,0,,30,,,33,,,39,,,13,,,43,,,0,,,68,,,9,,,70,,,10,,,0,,,4,,,60,85,40,20,80,5,0,40,35,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Sep,7/9,,30,64,0,,30,,,30,,,39,,,13,,,35,,,0,,,68,,,9,,,70,,,10,,,2,,,3,,,55,85,40,25,72,5,0,35,45,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep,8/9,,29,61,0,,21,,,35,,,30,,,10,,,35,,,3,,,68,,,9,,,65,,,10,,,3,,,3,,,59,85,40,33,72,3,0,30,45,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,9/9,,26,60,0,,21,,,35,,,30,,,5,,,35,,,0,,,65,,,0,,,60,,,10,,,3,,,3,,,53,75,40,33,70,1,0,35,40,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,10/9,,22,58,0,,10,,,30,,,30,,,0,,,35,,,2,,,48,,,0,,,60,,,7,,,3,,,3,,,53,75,35,33,80,1,0,35,40,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep,11/9,11-Sep,22,54,0,,13,,,30,,,25,,,0,,,39,,,3,,,44,,,0,,,60,,,7,,,3,,,3,,,47,70,35,40,80,1,0,30,45,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep,12/9,,21,51,0,,10,,,26,,,25,,,0,,,35,,,0,,,44,,,0,,,60,,,7,,,0,,,3,,,47,70,35,30,80,0,0,30,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep,13/9,,20,46,0,,10,,,24,,,25,,,1,,,35,,,0,,,40,,,0,,,60,,,0,,,0,,,7,,,62,65,35,25,88,0,0,30,55,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Sep,14/9,,19,45,0,,10,,,24,,,25,,,0,,,35,,,0,,,37,,,0,,,60,,,0,,,0,,,7,,,55,60,30,25,85,0,0,30,70,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Sep,15/9,,19,45,0,,12,,,20,,,25,,,0,,,35,,,0,,,37,,,0,,,60,,,0,,,0,,,7,,,55,70,30,25,85,0,7,30,75,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Sep,16/9,,18,47,0,,10,,,20,,,25,,,0,,,30,,,0,,,35,,,0,,,55,,,0,,,0,,,7,,,55,90,30,15,80,0,10,25,70,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Sep,17/9,,18,51,0,,10,,,20,,,20,,,0,,,28,,,0,,,35,,,0,,,65,,,0,,,0,,,,,,55,100,30,10,75,3,13,20,70,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Sep,18/9,18-Sep,17,49,0,,6,,,28,,,19,,,0,,,27,,,0,,,33,,,0,,,58,,,0,,,0,,,10,,,55,90,30,10,70,10,10,15,60,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Sep,19/9,,15,45,0,,4,,,,,,25,,,0,,,27,,,0,,,33,,,0,,,58,,,0,,,0,,,10,,,55,85,30,10,70,10,0,15,55,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Sep,20/9,,13,42,0,,4,,,,,,22,,,10,,,27,,,0,,,30,,,0,,,40,,,0,,,0,,,,,,54,80,30,7,65,10,0,15,55,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Sep,21/9,,12,40,0,,4,,,,,,20,,,8,,,20,,,0,,,30,,,0,,,38,,,0,,,0,,,,,,54,80,30,5,65,5,0,15,70,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Sep,22/9,,11,38,0,,4,,,,,,20,,,8,,,15,,,0,,,28,,,0,,,35,,,0,,,0,,,,,,49,80,30,3,65,2,0,15,60,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep,23/9,,11,38,0,,4,,,,,,20,,,,,,15,,,0,,,28,,,0,,,40,,,0,,,0,,,,,,45,80,30,0,65,0,0,10,50,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep,24/9,,10,32,0,,4,,,,,,13,,,,,,15,,,0,,,28,,,,,,40,,,0,,,0,,,0,,,41,70,30,0,55,0,0,10,50,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Sep,25/9,25-Sep,10,27,0,,4,,,,,,12,,,,,,15,,,0,,,28,,,,,,40,,,0,,,0,,,0,,,41,70,30,0,55,0,0,10,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Sep,26/9,,9,25,0,,4,,,,,,8,,,,,,15,,,0,,,28,,,,,,35,,,0,,,0,,,0,,,41,60,30,0,55,0,0,10,50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Sep,27/9,,6,22,0,,,,,,,,8,,,,,,15,,,0,,,0,,,,,,35,,,0,,,0,,,0,,,37,60,30,0,55,0,0,0,48,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Sep,28/9,,5,21,0,,,,,,,,8,,,,,,15,,,0,,,0,,,,,,30,,,0,,,0,,,0,,,37,65,30,0,50,0,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Sep,29/9,,1,21,0,,,,,,,,,,,,,,12,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,35,65,30,0,40,,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Sep,30/9,,3,18,0,,,,,,,,,,,,,,20,,,5,,,0,,,,,,0,,,0,,,0,,,0,,,26,70,30,0,,,0,0,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Oct,1/10,,3,15,0,,,,,,,,,,,,,,15,,,13,,,0,,,,,,0,,,0,,,0,,,0,,,26,65,30,,,,0,0,64,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Oct,2/10,2-Oct,3,15,0,,,,,,,,,,,,,,12,,,13,,,0,,,,,,0,,,,,,0,,,0,,,23,,30,,,,0,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Oct,3/10,,1,15,0,,,,,,,,,,,,,,10,,,,,,0,,,,,,0,,,,,,0,,,,,,23,,,,,,0,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Oct,4/10,,1,15,0,,,,,,,,,,,,,,10,,,,,,,,,,,,0,,,,,,0,,,,,,,60,,,,,0,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,5/10,,0,15,0,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,0,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Oct,6/10,,0,15,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Oct,7/10,,1,15,0,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,8/10,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Oct,9/10,9-Oct,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Av Snow Depth Natural,,,,23.18513175,,,32,,,29,,,61,,,24,,,21,,,14,,,24,,,16,,,44,,,25,,,2,,,11,,,51,43,47,13,52,13,9,20,34,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Av Snow Depth S'making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
