MOUNT STIRLING,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area,NO SNOW MAKING,2016 Natural Snow Depth,2016 Average depth in snow-making area,NO SNOW MAKING,2015 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2014 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2013 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2012 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2011 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2010 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2009 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2008 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2007 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2006 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2005,NO SNOW MAKING,NO SNOW MAKING,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jun,25/6,,10,1,0,,,,,0,,,40,,,,,,15,,,25,,,0,,,8,,,0,,,15,,,12,,,18,,,20,27,16,0,30,14,16,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jun,26/6,26-Jun,10,2,0,,,,,0,,,45,,,,,,15,,,20,,,0,,,7,,,0,,,15,,,12,,,18,,,30,27,16,0,30,8,16,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,27/6,,11,2,0,,,,,0,,,45,,,3,,,15,,,15,,,4,,,7,,,1,,,15,,,10,,,15,,,50,27,16,0,25,12,12,12,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,28/6,,10,2,0,,,,,0,,,38,,,3,,,15,,,13,,,3,,,7,,,1,,,15,,,10,,,15,,,50,20,31,0,15,12,12,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun,29/6,,11,2,0,,,,,0,,,58,,,3,,,14,,,13,,,3,,,7,,,1,,,10,,,10,,,13,,,50,20,40,0,15,8,12,15,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jun,30/6,,10,2,0,,,,,0,,,58,,,3,,,14,,,12,,,3,,,0,,,1,,,5,,,10,,,13,,,35,20,45,0,27,8,16,5,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jul,1/7,,10,2,0,,,,,0,,,58,,,0,,,14,,,10,,,10,,,0,,,0,,,5,,,10,,,10,,,30,20,45,0,20,5,16,0,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jul,2/7,,11,2,0,,,,,2,,,58,,,0,,,18,,,12,,,10,,,0,,,7,,,5,,,0,,,10,,,40,20,45,0,20,5,13,0,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Jul,3/7,3-Jul,14,2,0,,,,,10,,,58,,,0,,,23,,,12,,,6,,,10,,,5,,,20,,,0,,,10,,,40,20,40,0,20,5,13,0,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,4/7,,14,2,0,,,,,10,,,58,,,0,,,23,,,8,,,6,,,10,,,5,,,20,,,0,,,5,,,35,20,42,0,20,5,13,0,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jul,5/7,,16,2,0,,,,,10,,,58,,,2,,,23,,,7,,,2,,,32,,,5,,,20,,,0,,,5,,,35,10,53,0,20,5,13,0,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jul,6/7,,17,3,0,,,,,8,,,58,,,2,,,23,,,8,,,6,,,19,,,5,,,40,,,0,,,3,,,33,10,50,0,20,0,8,0,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jul,7/7,,21,3,0,,34,,,5,,,58,,,10,,,20,,,20,,,6,,,17,,,4,,,40,,,0,,,3,,,45,10,53,0,17,0,8,0,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,8/7,,24,4,0,,25,,,4,,,58,,,15,,,20,,,25,,,6,,,17,,,25,,,40,,,0,,,3,,,53,10,70,0,17,0,6,0,18,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,9/7,,25,7,0,,25,,,4,,,58,,,25,,,20,,,30,,,5,,,15,,,20,,,48,,,0,,,2,,,55,10,70,0,22,0,15,5,17,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul,10/7,10-Jul,28,8,0,,22,,,8,,,93,,,25,,,20,,,30,,,5,,,15,,,20,,,46,,,0,,,16,,,55,10,72,0,22,0,22,12.5,12,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,11/7,,29,9,0,,16,,,7,,,97,,,20,,,20,,,30,,,1,,,15,,,40,,,46,,,0,,,12,,,55,10,75,0,25,0,22,12.5,13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul,12/7,,32,10,0,,16,,,23,,,97,,,20,,,20,,,30,,,2,,,15,,,50,,,46,,,6,,,11,,,45,10,75,0,25,0,24,10,13,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
